序号,院系名称,专业名称,班级名称,学号,姓名（可能有重名）,实验项目名称,上课周次,上课星期,开始节次,结束节次,上课教师,实验人数,课时
1,学院005,专业017,班级030,S000002785,学生2760,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
2,学院009,专业043,班级066,S000001107,学生1102,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
3,学院001,专业001,班级001,S000001921,学生1908,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
4,学院004,专业011,班级018,S000000108,学生108,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
5,学院005,专业012,班级021,S000000325,学生325,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
6,学院005,专业060,班级136,S000002287,学生2267,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
7,学院005,专业012,班级144,S000002619,学生2596,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
8,学院005,专业013,班级022,S000000251,学生251,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
9,学院006,专业033,班级049,S000000772,学生771,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
10,学院011,专业028,班级043,S000002003,学生1989,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
11,学院007,专业016,班级029,S000000585,学生585,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
12,学院005,专业047,班级070,S000001127,学生1122,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
13,学院001,专业003,班级003,S000000003,学生003,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
14,学院004,专业010,班级019,S000000231,学生231,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
15,学院009,专业026,班级064,S000001044,学生1040,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
16,学院001,专业006,班级009,S000001547,学生1538,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
17,学院009,专业061,班级088,S000001281,学生1275,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
18,学院009,专业023,班级038,S000001751,学生1740,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
19,学院009,专业066,班级100,S000002462,学生2440,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
20,学院009,专业041,班级062,S000001008,学生1004,RLC串联电路的暂态过程 大物2,7周,星期五,11,13,教师034,20,3
21,学院005,专业017,班级030,S000002781,学生2756,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
22,学院009,专业043,班级066,S000001117,学生1112,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
23,学院001,专业001,班级001,S000001905,学生1892,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
24,学院004,专业011,班级018,S000000212,学生212,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
25,学院005,专业012,班级021,S000000283,学生283,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
26,学院005,专业060,班级136,S000002317,学生2297,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
27,学院005,专业012,班级144,S000002629,学生2606,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
28,学院005,专业013,班级022,S000000289,学生289,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
29,学院006,专业033,班级049,S000000777,学生776,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
30,学院011,专业028,班级043,S000002013,学生1999,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
31,学院007,专业016,班级029,S000000568,学生568,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
32,学院005,专业047,班级070,S000001133,学生1128,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
33,学院002,专业004,班级013,S000000524,学生524,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
34,学院004,专业010,班级019,S000000144,学生144,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
35,学院009,专业026,班级064,S000001040,学生1036,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
36,学院001,专业006,班级009,S000002168,学生2151,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
37,学院009,专业061,班级088,S000001368,学生1362,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
38,学院009,专业023,班级038,S000001758,学生1746,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
39,学院009,专业066,班级100,S000002459,学生2438,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
40,学院014,专业067,班级118,S000002843,学生2816,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
41,学院001,专业052,班级076,S000001196,学生1191,RLC串联电路的暂态过程 大物2,7周,星期六,3,5,教师034,21,3
42,学院005,专业017,班级030,S000002769,学生2744,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
43,学院009,专业043,班级066,S000001095,学生1090,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
44,学院001,专业001,班级001,S000000037,学生037,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
45,学院004,专业011,班级018,S000000139,学生139,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
46,学院005,专业012,班级021,S000000260,学生260,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
47,学院005,专业060,班级136,S000002314,学生2294,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
48,学院005,专业012,班级144,S000002635,学生2612,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
49,学院005,专业013,班级022,S000000296,学生296,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
50,学院006,专业033,班级049,S000000807,学生806,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
51,学院011,专业028,班级043,S000002015,学生2001,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
52,学院011,专业028,班级112,S000001494,学生1485,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
53,学院005,专业047,班级070,S000001142,学生1137,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
54,学院011,专业054,班级106,S000002737,学生2712,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
55,学院004,专业010,班级019,S000000230,学生230,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
56,学院009,专业026,班级064,S000001047,学生1043,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
57,学院011,专业054,班级082,S000002052,学生2038,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
58,学院009,专业061,班级088,S000001276,学生1270,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
59,学院009,专业023,班级038,S000001742,学生1731,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
60,学院009,专业066,班级100,S000002257,学生1925,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
61,学院014,专业067,班级118,S000002248,学生2230,RLC串联电路的暂态过程 大物2,7周,星期六,8,10,教师034,20,3
62,学院005,专业017,班级030,S000002749,学生2724,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
63,学院009,专业043,班级066,S000001078,学生1074,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
64,学院001,专业001,班级001,S000001895,学生1882,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
65,学院004,专业011,班级017,S000000127,学生127,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
66,学院005,专业012,班级021,S000000335,学生335,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
67,学院005,专业012,班级102,S000002190,学生2173,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
68,学院005,专业012,班级020,S000000264,学生264,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
69,学院006,专业032,班级048,S000002442,学生2422,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
70,学院006,专业033,班级049,S000000812,学生811,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
71,学院011,专业028,班级043,S000002004,学生1990,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
72,学院011,专业028,班级112,S000001523,学生1514,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
73,学院005,专业047,班级070,S000001131,学生1126,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
74,学院011,专业054,班级106,S000002470,学生2448,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
75,学院004,专业010,班级016,S000000119,学生119,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
76,学院009,专业026,班级064,S000001014,学生1010,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
77,学院011,专业054,班级082,S000002055,学生419,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
78,学院009,专业061,班级088,S000001271,学生1265,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
79,学院009,专业023,班级038,S000001761,学生1749,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
80,学院009,专业066,班级100,S000002465,学生2443,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
81,学院014,专业067,班级118,S000002234,学生2216,RLC串联电路的暂态过程 大物2,7周,星期六,11,13,教师034,20,3
82,学院005,专业017,班级030,S000002759,学生2734,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
83,学院009,专业043,班级066,S000001090,学生1085,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
84,学院001,专业001,班级001,S000001902,学生1889,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
85,学院004,专业011,班级018,S000000173,学生173,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
